id,lat,lon
3522136627,41.0968617,114.6703962
3522136660,41.1044858,114.6632039
3522136644,41.0997742,114.6653602
3522136676,41.1091914,114.6612308
3522136904,41.1139227,114.6576206
3658886067,41.0989491,114.7173669
3522136922,41.119344,114.6556792
2417980373,41.0921077,114.7138641
2417980676,41.1093534,114.722228
3522136005,41.0790445,114.6926934
2417980435,41.0947141,114.7230603
3522135582,41.0768985,114.688719
2417980679,41.1094462,114.7304826
3522135584,41.0772155,114.672182
2417980440,41.0949396,114.7273988
2417980465,41.0996852,114.7299018
2417980320,41.085115,114.7206839
3522135554,41.0738417,114.6882771
2417980546,41.103558,114.7327706
3522136071,41.0870747,114.6480014
3522135557,41.0742814,114.6707095
2417980733,41.1152013,114.7367659
2417980414,41.0932219,114.7336294
3522135520,41.0700252,114.6881976
3522136043,41.0838311,114.6475153
2417980314,41.0836534,114.7275062
3522136642,41.0993949,114.6346304
3522135509,41.068161,114.6830546
3522136020,41.0811523,114.6466895
2417980522,41.1024658,114.7408333
3522135588,41.0778114,114.6497359
2417980789,41.1240451,114.738614
2417980317,41.0847961,114.732971
3522135524,41.0702915,114.6625851
2417980761,41.1179842,114.7420605
3522135493,41.0661419,114.6802048
2417980610,41.1046993,114.7440529
2417980711,41.112458,114.7441764
13180089725,41.0651743,114.6766516
2417980324,41.0860451,114.7374663
2417980463,41.0986932,114.7442533
3522136638,41.099177,114.6291616
10200463266,41.0658945,114.6692305
3522136092,41.0891721,114.6328181
2417980362,41.0917583,114.7428077
2417980297,41.0772618,114.7305735
3522136656,41.1037937,114.6262955
3522136617,41.0942668,114.6285679
2417980655,41.1063065,114.7487754
2417980299,41.0781123,114.7340992
2417980403,41.0928079,114.7462277
3522135481,41.0638491,114.665055
3522136649,41.102528,114.6228736
3522135455,41.0607637,114.6743248
3522136595,41.0900131,114.6258133
2417980771,41.1210487,114.7512511
3522136029,41.0821303,114.7435046
2417980455,41.0979425,114.7528221
3522135456,41.0608799,114.6638442
2417980265,41.0686766,114.7285991
3522136951,41.1307977,114.7479467
3522136014,41.080403,114.6303322
2417980483,41.1011979,114.7540034
2417980665,41.1080004,114.7550614
3522135563,41.074956,114.6352046
2417980541,41.1034168,114.755749
2417980333,41.0873206,114.7511284
3522135997,41.0786124,114.6276253
3522135438,41.0573066,114.6644876
2417980257,41.0652343,114.7297097
2417980768,41.1187549,114.7577281
2417980346,41.0904545,114.7552421
3522136034,41.082535,114.6226976
3522135560,41.074727,114.7443398
2417980258,41.0656064,114.7330239
2417980418,41.0932585,114.7575123
3522136953,41.131793,114.7539314
3522135993,41.0779704,114.7495264
2417980442,41.0960224,114.759972
3522135551,41.0733985,114.6281114
2417980783,41.1224408,114.7599809
3522135496,41.0665599,114.6353261
3522136003,41.0789049,114.6190865
3522135513,41.0688672,114.6288517
3522135291,41.0495497,114.6854242
3522135519,41.0699334,114.7462553
3522135478,41.0635443,114.6340445
3522135437,41.0571816,114.6452316
3522135482,41.0643136,114.7412176
2417980245,41.0606088,114.7360208
3522136085,41.0880711,114.7632304
3522136001,41.0787762,114.6147365
2417980240,41.0601701,114.7390352
3522135510,41.0683577,114.7502655
3522135254,41.0459236,114.6826359
3522136018,41.0808209,114.7617853
3522135453,41.0601742,114.6333956
3522136669,41.1077084,114.7712765
2417980735,41.1155195,114.7708404
13230114928,41.1539535,114.6268217
3522135413,41.0536898,114.6433342
13230114904,41.1580472,114.6324195
3522135233,41.0441353,114.6790939
3522135498,41.0665985,114.75261
2417980272,41.0703169,114.7565374
3522135227,41.0436825,114.6753177
2417980220,41.057485,114.7418382
3522135429,41.0558985,114.6338856
3522136651,41.1029306,114.7748902
3522135398,41.0507381,114.6420452
3522135491,41.0660017,114.7556685
3522134988,41.0412462,114.6718976
3522135408,41.0521639,114.6357326
2417980276,41.0715063,114.7647208
13230114905,41.1619745,114.6275314
3522137332,41.1535051,114.6161552
2417980193,41.0555044,114.7465274
3522135486,41.0646414,114.7590021
2417980725,41.1139813,114.7799751
3522137345,41.1562499,114.6177162
