id,lat,lon
2417979746,41.0373566,114.8412279
2417979753,41.0377156,114.8352519
2417979762,41.0385666,114.8323079
2417979838,41.0416912,114.8240754
2417979851,41.0422364,114.7523977
2417979857,41.0423959,114.8062176
2417979876,41.0429942,114.8335419
2417979880,41.0430341,114.8148204
2417979885,41.043074,114.7383654
2417979892,41.0434862,114.811471
2417979895,41.0435527,114.7485194
2417979901,41.0436856,114.7454697
2417979906,41.0440579,114.7427549
2417979912,41.0442307,114.7550596
2417979919,41.0448822,114.8026567
2417979923,41.0450418,114.8305098
2417979926,41.0452146,114.7717715
2417979933,41.0460389,114.7409567
2417979937,41.0460788,114.8190865
2417979940,41.0462782,114.7605244
2417979965,41.0468765,114.7946709
2417979990,41.0472886,114.7651079
2417980038,41.0481395,114.8243574
2417980039,41.0481661,114.7702025
2417980045,41.0484985,114.7993425
2417980050,41.0489106,114.836098
2417980059,41.0492828,114.7582327
2417980070,41.0496152,114.8309681
2417980077,41.0502267,114.7958168
2417980082,41.0509047,114.7716833
2417980089,41.0516492,114.8399234
2417980111,41.0528324,114.7929257
2417980114,41.052952,114.777818
2417980134,41.0539357,114.8343528
2417980141,41.0542415,114.7730231
2417980158,41.0548264,114.7502999
2417980193,41.0555044,114.7465274
2417980214,41.056076,114.7647024
2417980217,41.0572059,114.8377022
2417980220,41.057485,114.7418382
2417980224,41.0582693,114.7673643
2417980229,41.0584421,114.7802332
2417980232,41.0586282,114.7718067
2417980235,41.0595985,114.7754735
2417980240,41.0601701,114.7390352
2417980245,41.0606088,114.7360208
2417980250,41.0616489,114.8223922
2417980252,41.0627105,114.8297492
2417980257,41.0652343,114.7297097
2417980258,41.0656064,114.7330239
2417980259,41.066121,114.8273203
2417980261,41.067302,114.8209314
2417980265,41.0686766,114.7285991
2417980266,41.0687749,114.8257363
2417980269,41.0696601,114.7989018
2417980270,41.0698364,114.8304708
2417980272,41.0703169,114.7565374
2417980273,41.0703645,114.7950059
2417980274,41.0705132,114.8110399
2417980276,41.0715063,114.7647208
2417980278,41.0720258,114.805883
2417980279,41.0720391,114.8362438
2417980287,41.0741488,114.8117439
2417980288,41.0743743,114.8034541
2417980294,41.0762318,114.8143312
2417980295,41.0763115,114.8385846
2417980297,41.0772618,114.7305735
2417980299,41.0781123,114.7340992
2417980301,41.07862,114.8371414
2417980302,41.0797477,114.8502889
2417980306,41.0807958,114.8378278
2417980312,41.0830114,114.8495849
2417980314,41.0836534,114.7275062
2417980317,41.0847961,114.732971
2417980320,41.085115,114.7206839
2417980324,41.0860451,114.7374663
2417980328,41.0862881,114.8503593
2417980333,41.0873206,114.7511284
2417980334,41.0875616,114.8268451
2417980345,41.0904402,114.8293972
2417980346,41.0904545,114.7552421
2417980350,41.0908779,114.8092622
2417980352,41.0909708,114.8392006
2417980358,41.0915677,114.8131168
2417980362,41.0917583,114.7428077
2417980373,41.0921077,114.7138641
2417980380,41.0923901,114.8016412
2417980400,41.092735,114.8248915
2417980403,41.0928079,114.7462277
2417980414,41.0932219,114.7336294
2417980418,41.0932585,114.7575123
2417980430,41.0941543,114.785484
2417980433,41.0943135,114.7967483
2417980435,41.0947141,114.7230603
2417980440,41.0949396,114.7273988
2417980442,41.0960224,114.759972
2417980455,41.0979425,114.7528221
2417980463,41.0986932,114.7442533
2417980465,41.0996852,114.7299018
2417980471,41.0999903,114.7939498
2417980483,41.1011979,114.7540034
2417980516,41.1020592,114.8078984
2417980522,41.1024658,114.7408333
2417980530,41.1030158,114.8123065
2417980541,41.1034168,114.755749
2417980546,41.103558,114.7327706
2417980585,41.104168,114.7907818
2417980610,41.1046993,114.7440529
2417980650,41.1059919,114.8153745
2417980655,41.1063065,114.7487754
2417980665,41.1080004,114.7550614
2417980669,41.1082372,114.8077044
2417980676,41.1093534,114.722228
2417980679,41.1094462,114.7304826
2417980683,41.1098182,114.8006514
2417980701,41.1116249,114.811848
2417980711,41.112458,114.7441764
2417980725,41.1139813,114.7799751
2417980733,41.1152013,114.7367659
2417980735,41.1155195,114.7708404
2417980746,41.1161958,114.7819111
2417980749,41.1162479,114.7994877
2417980755,41.1172574,114.8042661
2417980761,41.1179842,114.7420605
2417980768,41.1187549,114.7577281
2417980771,41.1210487,114.7512511
2417980776,41.1214284,114.8024499
2417980783,41.1224408,114.7599809
2417980789,41.1240451,114.738614
2417980795,41.1251475,114.8016918
2417980824,41.1287734,114.8020444
2417980888,41.1346302,114.8009336
2417980966,41.1377775,114.8066112
2417981012,41.1436045,114.8067703
3522134640,40.989993,114.7932708
3522134641,40.9928689,114.7935829
3522134642,40.9971831,114.7869738
3522134643,40.997585,114.7909183
3522134644,40.9983094,114.795108
3522134645,41.001296,114.7881384
3522134646,41.0030947,114.793994
3522134647,41.0045782,114.7851293
3522134648,41.006809,114.793998
3522134649,41.0071368,114.7888555
3522134650,41.0083502,114.7701002
3522134651,41.0089371,114.7733104
3522134652,41.0089596,114.7660279
3522134653,41.0091155,114.7771141
3522134654,41.0097728,114.7903331
3522134655,41.0125784,114.7712167
3522134656,41.0130066,114.7664403
3522134657,41.0132951,114.7500339
3522134658,41.0134166,114.7773447
3522134662,41.0139405,114.7585109
3522134665,41.0151795,114.7801561
3522134666,41.0153278,114.7469968
3522134669,41.0154705,114.752402
3522134671,41.0155217,114.7559694
3522134674,41.0165474,114.7724609
3522134676,41.0169819,114.7685329
3522134684,41.0189832,114.7825023
3522134685,41.0181751,114.7620161
3522134688,41.0198111,114.7549939
3522134689,41.0197366,114.7511377
3522134690,41.0202765,114.7587643
3522134894,41.0218023,114.7600462
3522134895,41.0220148,114.5362825
3522134896,41.0220299,114.7624935
3522134902,41.0233642,114.5313932
3522134907,41.0244851,114.5436762
3522134909,41.0231572,114.7539804
3522134912,41.0253394,114.5364283
3522134913,41.02598,114.547598
3522134914,41.0270337,114.5301202
3522134916,41.0271413,114.648482
3522134921,41.0285616,114.6511422
3522134926,41.03008,114.5505041
3522134927,41.0308913,114.5365756
3522134929,41.0311519,114.5561757
3522134932,41.0319131,114.6537363
3522134933,41.0321495,114.7711714
3522134936,41.0328325,114.7746257
3522134937,41.0329067,114.7798294
3522134939,41.0339917,114.6569254
3522134943,41.0348084,114.7668002
3522134945,41.0352697,114.6405821
3522134946,41.0353572,114.6456349
3522134947,41.0356919,114.660133
3522134950,41.0362781,114.7733513
3522134955,41.0375249,114.6627057
3522134957,41.0376161,114.7936659
3522134963,41.038097,114.6480888
3522134964,41.0383146,114.6657026
3522134968,41.0390202,114.7788916
3522134972,41.0394957,114.7745117
3522134973,41.0395538,114.7615239
3522134975,41.0397051,114.7958458
3522134979,41.040012,114.8880157
3522134980,41.0400166,114.6391163
3522134983,41.0406396,114.7665021
3522134988,41.0412462,114.6718976
3522134990,41.0414726,114.8465577
3522134991,41.041508,114.8842851
3522135213,41.0421939,114.8818863
3522135214,41.0424352,114.850845
3522135227,41.0436825,114.6753177
3522135232,41.0440964,114.8524905
3522135233,41.0441353,114.6790939
3522135235,41.0442041,114.8600953
3522135236,41.0442252,114.7772748
3522135238,41.0443015,114.8770253
3522135241,41.0445119,114.8629882
3522135245,41.0448969,114.6388905
3522135248,41.0452143,114.550599
3522135249,41.0452411,114.8720273
3522135250,41.0452613,114.8890253
3522135252,41.0456086,114.8560145
3522135253,41.045845,114.51024
3522135254,41.0459236,114.6826359
3522135256,41.0460618,114.8671126
3522135258,41.046116,114.8839925
3522135259,41.0462515,114.5194847
3522135260,41.0462672,114.5147599
3522135262,41.0463619,114.5547272
3522135264,41.0465314,114.524906
3522135265,41.0465346,114.5300686
3522135271,41.0479382,114.7805681
3522135274,41.0482219,114.868287
3522135277,41.0483625,114.8783071
3522135278,41.0483739,114.8534755
3522135280,41.0487644,114.635842
3522135283,41.0490173,114.8742211
3522135286,41.0492423,114.5321796
3522135288,41.0493007,114.8944673
3522135291,41.0495497,114.6854242
3522135394,41.049896,114.8587778
3522135395,41.0499446,114.8703492
3522135398,41.0507381,114.6420452
3522135401,41.0513147,114.5354949
3522135402,41.0513933,114.5452154
3522135406,41.0519877,114.5406491
3522135407,41.0520073,114.8533716
3522135408,41.0521639,114.6357326
3522135409,41.052995,114.5622431
3522135413,41.0536898,114.6433342
3522135414,41.0538045,114.872154
3522135415,41.0539258,114.8683996
3522135417,41.0540025,114.5509226
3522135427,41.0554228,114.8763949
3522135429,41.0558985,114.6338856
3522135431,41.056678,114.8508655
3522135433,41.0568233,114.5599482
3522135437,41.0571816,114.6452316
3522135438,41.0573066,114.6644876
3522135440,41.0576636,114.878142
